NL,OCL,src
A Constraint cannot be applied to itself.,not constrainedElement->includes(self),1.1
Elements that must be owned must have an owner.,mustBeOwned() implies owner->notEmpty(),1.1
An element may not directly or indirectly own itself.,not allOwnedElements()->includes(self),1.1
An importedElement has either public visibility or no visibility at all.,importedElement.visibility <> null implies importedElement.visibility =VisibilityKind::public,1.1
The visibility of an ElementImport is either public or private.,visibility = VisibilityKind::public or visibility = VisibilityKind::private,1.1
The upper bound must be greater than or equal to the lower bound.,upperBound() >= lowerBound(),1.1
The lower bound must be a non-negative integer literal.,lowerBound() >= 0,1.1
"If it is not empty, then lowerValue must have an Integer value.",lowerValue <> null implies lowerValue.integerValue() <> null,1.1
"If it is not empty, then upperValue must have an UnlimitedNatural value.",upperValue <> null implies upperValue.unlimitedValue() <> null,1.1
"If a NamedElement is owned by something other than a Namespace, it does not have a visibility. One that is not owned by anything (and hence must be a Package, as this is the only kind of NamedElement that overrides mustBeOwned()) may have a visibility.",(namespace = null and owner <> null) implies visibility = null,1.1
"When there is a name, and all of the containing Namespaces have a name, the qualifiedName is constructed from the name of the NamedElement and the names of the containing Namespaces.",(name <> null and allNamespaces()->select(ns | ns.name = null)->isEmpty()) implies qualifiedName = allNamespaces()->iterate( ns : Namespace; agg: String = name | ns.name.concat(self.separator()).concat(agg)),1.1
"If there is no name, or one of the containing Namespaces has no name, there is no qualifiedName.",name=null or allNamespaces()->select( ns | ns.name=null )->notEmpty() implies qualifiedName = null,1.1
A Namespace cannot have a PackageImport to itself.,packageImport.importedPackage.oclAsType(Namespace)->excludes(self),1.1
A Namespace cannot have an ElementImport to one of its ownedMembers.,elementImport.importedElement.oclAsType(Element)->excludesAll(ownedMember),1.1
A PackageableElement owned by a Namespace must have a visibility.,visibility = null implies namespace = null,1.1
Each parameterSubstitution must refer to a formal TemplateParameter of the target TemplateSignature.,parameterSubstitution->forAll(b | signature.parameter->includes(b.formal)),1.1
A TemplateBiinding contains at most one TemplateParameterSubstitution for each formal TemplateParameter of the target TemplateSignature.,signature.parameter->forAll(p | parameterSubstitution->select(b | b.formal = p)->size() <= 1),1.1
The default must be compatible with the formal TemplateParameter,default <> null implies default.isCompatibleWith(parameteredElement),1.1
"The actual ParameterableElement must be compatible with the formal TemplateParameter, e.g., the actual ParameterableElement for a Class TemplateParameter must be a Class.",actual->forAll(a | a.isCompatibleWith(formal.parameteredElement)),1.1
Parameters must own the ParameterableElements they parameter or those ParameterableElements must be owned by the TemplateableElement being templated.,template.ownedElement->includesAll(parameter.parameteredElement->asSet() - parameter.ownedParameteredElement->asSet()),1.1
The names of the parameters of a TemplateSignature are unique.,"parameter->forAll( p1, p2 | (p1 <> p2 and p1.parameteredElement.oclIsKindOf(NamedElement) and p2.parameteredElement.oclIsKindOf(NamedElement) ) implies p1.parameteredElement.oclAsType(NamedElement).name <> p2.parameteredElement.oclAsType(NamedElement).name)",1.1
